cat,label,area_sqkm
1,,39.5225
63,,7.0875
37,,22.8525
58,,19.4475
62,,2.2775
41,,9.0375
12,,12.4025
54,,10.28
61,,0.7025
60,,6.93
49,,5.6925
8,,14.8775
23,,10.145
59,,3.39
52,,29.5
27,,5.8325
16,,6.7275
57,,8.595
56,,10.465
3,,13.3175
55,,23.9275
26,,9.6975
35,,5.5175
45,,6.6675
10,,7.4975
36,,3.4975
51,,8.9175
53,,2.89
38,,3.2825
47,,9.5075
50,,1.4825
42,,17.7725
46,,6.88
32,,4.455
29,,12.37
30,,7.125
48,,11.11
15,,12.5475
40,,7.405
18,,8.035
21,,18.73
7,,16.89
28,,10.145
44,,1.3075
34,,10.1625
20,,11.3975
11,,7.2875
19,,0.12
17,,10.825
14,,7.7175
2,,12.395
33,,0.6675
13,,9.1725
4,,13.2475
31,,0.1225
25,,6.905
24,,7.985
6,,25.6575
9,,14.575
22,,6.9225
5,,39.8725
